bone_id,period_class,group_order,sentence_simple,surface_form,canonical_entity_id,canonical_name,entity_phase,entity_type,entity_subtype,entity_role,rule_hit,confidence,linked_entity_id
H00005,典賓,0,乙巳卜殻貞未释,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00005,典賓,1,未释殻貞王大令眾匕曰未释,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00005,典賓,1,未释殻貞王大令眾匕曰未释,王,KING_典賓,Wu Ding,living,human,king,agent,living_king_with_action,medium,
H00007,賓三,0,癸未卜爭貞王在茲򾮷咸狩,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00007,賓三,0,癸未卜爭貞王在茲򾮷咸狩,王,KING_賓三,Wu Ding,living,human,king,agent,living_king_with_action,medium,
H00010,賓三,0,戊寅卜賓貞王往以眾黍于囧,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00010,賓三,0,戊寅卜賓貞王往以眾黍于囧,王,KING_賓三,Wu Ding,living,human,king,agent,living_king_with_action,medium,
H00012,賓三,0,貞叀小臣令眾黍一夕,小臣,XIAO_CHEN,小臣,living,human,official,agent,living_named_person,high,
H00012,賓三,2,貞王心未释亡來未释自一夕,王,KING_賓三,Wu Ding,living,human,king,agent,living_king_alone,low,
H00016,典賓,1,辛丑卜爭貞我卜多不吉勿未释,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00018,典賓,0,戌寅卜爭貞今春眾㞢工十一月,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00026,典賓,0,丁未卜爭貞勿令畢以眾伐𢀛,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00027,典賓,0,未丁卜爭貞勿令畢以眾伐𢀛,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00028,典賓,0,貞王勿令畢以眾伐𢀛方,王,KING_典賓,Wu Ding,living,human,king,agent,living_king_with_action,medium,
H00030,賓三,3,甲未释賓未释厀未释丁羌,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00033,典賓,0,癸酉卜賓貞翌戊令眾人未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00040,典賓,0,己巳卜爭貞乎未释,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00041,典賓,0,己巳卜爭貞乎眾人于誖,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00045,賓一,0,未释貞王疒未释未释眾𰜃不,王,KING_賓一,Wu Ding,living,human,king,agent,living_king_alone,low,
H00052,賓三,0,未释殻貞王其啟未释,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00052,賓三,0,未释殻貞王其啟未释,王,KING_賓三,Wu Ding,living,human,king,agent,living_king_with_action,medium,
H00059,賓三,0,己卯卜賓未释不喪眾,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00060,賓三,0,未释卯卜賓未释畢不未释眾,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00071,典賓,0,未释卜殻貞未释򮞃比未释𪭑未释亡祸,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00075,賓出,0,未释貞王未释眾于未释未释,王,KING_賓出,Wu Ding,living,human,king,agent,living_king_alone,low,
H00079,賓三,0,戊戌未释爭貞未释眾未释亡未释,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00088,賓三,0,未释亥卜賓未释眾未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00088,賓三,1,乙未释賓未释򮸫未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00089,賓出,0,癸卯未释貞未释子未释眾未释三,子,PRINCE_賓出,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H00118,賓一,0,戊申卜賓令未释取析芻,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00122,賓一,0,貞王夢啟隹祸,王,KING_賓一,Wu Ding,living,human,king,agent,living_king_alone,low,
H00122,賓一,1,王夢啟不隹祸,王,KING_賓一,Wu Ding,living,human,king,agent,living_king_alone,low,
H00132,典賓,1,貞王其㞢未释,王,KING_典賓,Wu Ding,living,human,king,agent,living_king_with_action,medium,
H00134,典賓,0,未释未释卜賓未释逸芻㝵,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00166,典賓,0,己酉卜殻貞臿獲羌,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00169,典賓,2,子漁㞢从,子,PRINCE_典賓,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H00169,典賓,3,貞王勿去朿,王,KING_典賓,Wu Ding,living,human,king,agent,living_king_with_action,medium,
H00171,典賓,0,未释未释卜殻貞戉獲羌,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00171,典賓,1,未释未释卜殻貞令望乘未释,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00171,典賓,2,未释未释未释殻貞王鼎比望乘未释,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00171,典賓,2,未释未释未释殻貞王鼎比望乘未释,王,KING_典賓,Wu Ding,living,human,king,agent,living_king_alone,low,
H00176,典賓,8,貞乎帚好擇,帚好,FU_HAO,帚好,living,human,royal_consort,agent,living_named_person,high,MU_辛
H00177,典賓,0,己丑卜爭貞未释叶王史,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00177,典賓,0,己丑卜爭貞未释叶王史,王,KING_典賓,Wu Ding,living,human,king,agent,living_king_alone,low,
H00177,典賓,1,貞未释叶王史,王,KING_典賓,Wu Ding,living,human,king,agent,living_king_alone,low,
H00177,典賓,3,甲御卜殻貞乎畢先御尞于河,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00181,典賓,0,乙巳卜賓貞帚妌娩𰋶未释帚妌,帚妌,FU_JING,帚妌,living,human,royal_consort,agent,living_named_person,high,
H00181,典賓,0,乙巳卜賓貞帚妌娩𰋶未释帚妌,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00183,典賓,2,辛亥卜殻六月,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00192,典賓,0,未释戌卜賓貞疋獲羌,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00199,典賓,0,己卯卜爭貞今早令兔田从򮺻至于𪷾獲羌王占曰艱,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00199,典賓,0,己卯卜爭貞今早令兔田从򮺻至于𪷾獲羌王占曰艱,王,KING_典賓,Wu Ding,living,human,king,agent,living_king_with_action,medium,
H00215,典賓,0,未释卜殻貞未释翌乙未未释獲羌,殻,KE,殻,living,human,diviner,agent,living_named_person,high,
H00221,典賓,0,貞王未释沚𪭑比,王,KING_典賓,Wu Ding,living,human,king,agent,living_king_alone,low,
H00225,典賓,0,未释爭貞敢未释吉其隹未释吉四日戊未释羌未释,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00229,賓三,0,辛巳未释賓貞未释甲申用目來羌自未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00239,賓三,0,丁丑卜爭貞來乙酉眢用侃來羌未释自元未释五月,爭,ZHENG,爭,living,human,diviner,agent,living_named_person,high,
H00242,賓三,0,丙寅卜賓貞小來羌來甲戌㲹用,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00242,賓三,2,甲申卜賓貞王眢大示,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H00242,賓三,2,甲申卜賓貞王眢大示,王,KING_賓三,Wu Ding,living,human,king,agent,living_king_alone,low,
