bone_id,group_type,group_order,period_class,sentence_simple,theme,detail_json
H00002,InscriptionSentence,0,典賓,曰協田其受年十一月,agriculture,"{""harvest_keywords"": [""受年""]}"
H00007,InscriptionSentence,3,賓三,羌未释,spatial,"{""places"": [""羌""]}"
H00008,InscriptionSentence,1,賓出,未释卜貞肇丁帝十牢,ritual,"{""verb_type"": ""none"", ""target_type"": ""nature"", ""targets"": [""帝""]}"
H00010,InscriptionSentence,0,賓三,戊寅卜賓貞王往以眾黍于囧,agriculture,"{""crop_keywords"": [""黍""]}"
H00011,InscriptionSentence,3,賓三,丙午卜古貞未释眾黍于未释,agriculture,"{""crop_keywords"": [""黍""]}"
H00012,InscriptionSentence,0,賓三,貞叀小臣令眾黍一夕,agriculture,"{""crop_keywords"": [""黍""]}"
H00018,InscriptionSentence,2,典賓,壬御未释貞未释爯未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
H00026,InscriptionSentence,0,典賓,丁未卜爭貞勿令畢以眾伐𢀛,war,"{""keywords"": [""伐""]}"
H00027,InscriptionSentence,0,典賓,未丁卜爭貞勿令畢以眾伐𢀛,war,"{""keywords"": [""伐""]}"
H00028,InscriptionSentence,0,典賓,貞王勿令畢以眾伐𢀛方,war,"{""keywords"": [""伐""]}"
H00030,InscriptionSentence,3,賓三,甲未释賓未释厀未释丁羌,spatial,"{""places"": [""羌""]}"
H00033,InscriptionSentence,1,典賓,壬御卜򦶉貞㞢于高匕己匕庚小牢,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
H00039,InscriptionSentence,0,典賓,貞翌丁未𫹉尞于丁十小𫳅卯十勿牛八夕,ritual,"{""verb_type"": ""strong"", ""verbs"": [""尞""], ""target_type"": ""other""}"
H00039,InscriptionSentence,1,典賓,貞尞告眾步于丁十未释,ritual,"{""verb_type"": ""strong"", ""verbs"": [""尞""], ""target_type"": ""other""}"
H00064,InscriptionSentence,0,賓三,辛巳未释򧍪貞未释喪眾受方佑,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H00138,InscriptionSentence,0,典賓,未释嚮己未寇򢬏芻逸自爻圉未释,war,"{""keywords"": [""寇""]}"
H00146,InscriptionSentence,0,典賓,未释午卜未释奠芻未释北,spatial,"{""directions"": [""北""]}"
H00155,InscriptionSentence,0,典賓,貞乎多羌逐未释獲,spatial,"{""places"": [""羌""]}"
H00156,InscriptionSentence,0,典賓,貞㞢羌未释,spatial,"{""places"": [""羌""]}"
H00156,InscriptionSentence,1,典賓,貞多羌獲,spatial,"{""places"": [""羌""]}"
H00156,InscriptionSentence,2,典賓,貞多羌不其獲,spatial,"{""places"": [""羌""]}"
