bone_id,period_class,group_type,group_order,char_count,ambiguous_count,placeholder_count,damaged_count,characters,characters_simple,sentence_full,sentence_simple
H00002,典賓,InscriptionSentence,0,7,0,0,0,曰|協|田|其|受|年|十一月,曰|協|田|其|受|年|十一月,曰協田其受年十一月,曰協田其受年十一月
H00003,典賓,InscriptionSentence,0,5,0,1,0,未释|人|曰|協|田,未释|人|曰|協|田,未释人曰協田,未释人曰協田
H00004,未分期,InscriptionSentence,0,4,0,2,0,未释|曰|協|未释,未释|曰|協|未释,未释曰協未释,未释曰協未释
H00005,典賓,InscriptionSentence,0,6,0,1,0,乙|巳|卜|殻|貞|未释,乙|巳|卜|殻|貞|未释,乙巳卜殻貞未释,乙巳卜殻貞未释
H00005,典賓,InscriptionSentence,1,10,0,2,0,未释|殻|貞|王|大|令|眾|匕|曰|未释,未释|殻|貞|王|大|令|眾|匕|曰|未释,未释殻貞王大令眾匕曰未释,未释殻貞王大令眾匕曰未释
H00007,賓三,InscriptionSentence,0,11,0,0,0,癸|未|卜|爭|貞|王|在|茲|򾮷|咸|狩,癸|未|卜|爭|貞|王|在|茲|򾮷|咸|狩,癸未卜爭貞王在茲򾮷咸狩,癸未卜爭貞王在茲򾮷咸狩
H00007,賓三,InscriptionSentence,1,6,0,0,0,辛|卯|令|眾|絴|十月,辛|卯|令|眾|絴|十月,辛卯令眾絴十月,辛卯令眾絴十月
H00007,賓三,InscriptionSentence,3,2,0,1,0,羌|未释,羌|未释,羌未释,羌未释
H00008,賓出,InscriptionSentence,0,4,0,2,0,未释|其|未释|年,未释|其|未释|年,未释其未释年,未释其未释年
H00008,賓出,InscriptionSentence,1,8,0,1,0,未释|卜|貞|肇|丁|帝|十|牢,未释|卜|貞|肇|丁|帝|十|牢,未释卜貞肇丁帝十牢,未释卜貞肇丁帝十牢
H00008,賓出,InscriptionSentence,2,10,0,2,0,未释|卜|貞|眾|乍|耤|不|喪|未释|未释,未释|卜|貞|眾|乍|耤|不|喪|未释|未释,未释卜貞眾乍耤不喪未释未释,未释卜貞眾乍耤不喪未释未释
H00008,賓出,InscriptionSentence,5,1,0,0,0,貞,貞,貞,貞
H00010,賓三,InscriptionSentence,0,12,0,0,0,戊|寅|卜|賓|貞|王|往|以|眾|黍|于|囧,戊|寅|卜|賓|貞|王|往|以|眾|黍|于|囧,戊寅卜賓貞王往以眾黍于囧,戊寅卜賓貞王往以眾黍于囧
H00010,賓三,InscriptionSentence,1,4,0,2,0,未释|教|未释|一月,未释|教|未释|一月,未释教未释一月,未释教未释一月
H00011,賓三,InscriptionSentence,0,4,0,0,0,貞|弗|其|冓,貞|弗|其|冓,貞弗其冓,貞弗其冓
H00011,賓三,InscriptionSentence,1,2,0,0,0,乙|巳,乙|巳,乙巳,乙巳
H00011,賓三,InscriptionSentence,2,2,0,0,0,丙|午,丙|午,丙午,丙午
H00011,賓三,InscriptionSentence,3,10,0,2,1,丙|午|卜|古|貞|未释|眾|黍|于|未释,丙|午|卜|古|貞|未释|眾|黍|于|未释,丙午卜古貞未释眾黍于未释,丙午卜古貞未释眾黍于未释
H00012,賓三,InscriptionSentence,0,8,0,0,0,貞|叀|小臣|令|眾|黍|一|夕,貞|叀|小臣|令|眾|黍|一|夕,貞叀小臣令眾黍一夕,貞叀小臣令眾黍一夕
H00012,賓三,InscriptionSentence,1,10,0,3,0,己|丑|未释|貞|令|未释|倗|未释|一|月,己|丑|未释|貞|令|未释|倗|未释|一|月,己丑未释貞令未释倗未释一月,己丑未释貞令未释倗未释一月
H00012,賓三,InscriptionSentence,2,10,0,2,1,貞|王|心|未释|亡|來|未释|自|一|夕,貞|王|心|未释|亡|來|未释|自|一|夕,貞王心未释亡來未释自一夕,貞王心未释亡來未释自一夕
H00015,典賓,InscriptionSentence,0,7,0,0,0,貞|乎|眾|人|出|麋|克,貞|乎|眾|人|出|麋|克,貞乎眾人出麋克,貞乎眾人出麋克
H00016,典賓,InscriptionSentence,0,7,0,0,0,貞|眾|尸|亡|其|擒|十月,貞|眾|尸|亡|其|擒|十月,貞眾尸亡其擒十月,貞眾尸亡其擒十月
H00016,典賓,InscriptionSentence,1,12,0,1,0,辛|丑|卜|爭|貞|我|卜|多|不|吉|勿|未释,辛|丑|卜|爭|貞|我|卜|多|不|吉|勿|未释,辛丑卜爭貞我卜多不吉勿未释,辛丑卜爭貞我卜多不吉勿未释
H00017,典賓,InscriptionSentence,0,12,0,3,0,辛|亥|卜|未释|貞|眾|未释|往|臿|未释|㞢|擒,辛|亥|卜|未释|貞|眾|未释|往|臿|未释|㞢|擒,辛亥卜未释貞眾未释往臿未释㞢擒,辛亥卜未释貞眾未释往臿未释㞢擒
H00018,典賓,InscriptionSentence,0,11,0,0,0,戌|寅|卜|爭|貞|今|春|眾|㞢|工|十一月,戌|寅|卜|爭|貞|今|春|眾|㞢|工|十一月,戌寅卜爭貞今春眾㞢工十一月,戌寅卜爭貞今春眾㞢工十一月
H00018,典賓,InscriptionSentence,1,2,0,1,0,工|未释,工|未释,工未释,工未释
H00018,典賓,InscriptionSentence,2,7,0,3,0,壬|御|未释|貞|未释|爯|未释,壬|御|未释|貞|未释|爯|未释,壬御未释貞未释爯未释,壬御未释貞未释爯未释
H00018,典賓,InscriptionSentence,3,4,0,0,0,貞|臿|啟|叶,貞|臿|啟|叶,貞臿啟叶,貞臿啟叶
H00018,典賓,InscriptionSentence,4,5,0,0,0,臿|啟|不|其|叶,臿|啟|不|其|叶,臿啟不其叶,臿啟不其叶
H00018,典賓,InscriptionSentence,5,4,0,2,0,貞|未释|啟|未释,貞|未释|啟|未释,貞未释啟未释,貞未释啟未释
H00018,典賓,InscriptionSentence,6,5,0,0,0,𪭑|啟|不|其|叶,𪭑|啟|不|其|叶,𪭑啟不其叶,𪭑啟不其叶
